"機關代碼","機關名稱","郵遞區號","機關地址","機關電話","主管機關代碼","主管機關名稱","傳真","機關生效日期","機關裁撤日期","機關層級","裁撤註記","新機關代碼","新機關名稱","新機關生效日","舊機關代碼","舊機關名稱"
"315010459M","交通部郵政總局臺灣中區郵政管理局斗南郵局","630","斗南鎮中山路七七號","05-5972201","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010460M","交通部郵政總局臺灣中區郵政管理局虎尾郵局","632","虎尾鎮林森路一段四九五號","05-6322111","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010461M","交通部郵政總局臺灣中區郵政管理局土庫郵局","633","士庫鎮中山路二０一號","05-6622718","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010462M","交通部郵政總局臺灣中區郵政管理局褒忠郵局","634","褒忠鄉三民路四四號","05-6972043","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010463M","臺灣中區郵政管理局東勢厝郵局","635","東勢鄉東勢西路卅二號","05-6991004","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010464M","交通部郵政總局臺灣中區郵政管理局臺西郵局","636","台西鄉中山路一六一號","05-6982048","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010465M","交通部郵政總局臺灣中區郵政管理局崙背郵局","637","崙背鄉民主路五號","05-6962074","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010466M","交通部郵政總局臺灣中區郵政管理局麥寮郵局","638","麥寮鄉光復路二四號","05-6932054","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010468M","交通部郵政總局臺灣中區郵政管理局西螺郵局","648","西螺鎮福興路一六七之一號","05-5862166","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010469M","交通部郵政總局臺灣中區郵政管理局二崙郵局","649","二崙鄉中山路一段一七八號","05-5982054","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010470M","交通部郵政總局臺灣中區郵政管理局北港郵局","651","北港鎮文化路五四號","05-7832229","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010471M","交通部郵政總局臺灣中區郵政管理局四湖郵局","654","四湖鄉中正路三四七號","05-7872046","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010472M","交通部郵政總局臺灣中區郵政管理局元長郵局","655","元長鄉仁愛路三號","05-7882054","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315831700M","中華郵政股份有限公司雲林郵局","0920106","",""
"315010473M","臺灣中區郵政管理局臺中港郵局","435","台中縣梧棲鎮四維路一二九號","04-26573645","315010400M","交通部郵政總局臺灣中區郵政管理局","04-26579502","0000000","0911029","5","是","","","","",""
"315010474M","交通部郵政總局臺灣中區郵政管理局雲林郵局","640","斗六市西平路一號","05-5322245","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315010474M","交通部郵政總局臺灣中區郵政管理局雲林郵局","0000000","315010474M","交通部郵政總局臺灣中區郵政管理局雲林郵局"
"315010491M","臺灣中區郵政管理臺中郵件處理中心","407","臺中市南屯向上路二段一九九號","04-23870166","315010400M","交通部郵政總局臺灣中區郵政管理局","","0000000","0920106","5","是","315837200M","中華郵政股份有限公司臺中郵件處理中心","0920106","",""
"315010600M","交通部郵政總局臺灣南區郵政管理局","800","高雄市中正三路一七七號","","315010000M","交通部郵政總局","07-2619382","0000000","0920103","4","是","315830400M","中華郵政股份有限公司高雄郵局","0920103","",""
"315010601M","交通部郵政總局臺灣南區郵政管理局臺南郵局","700","台南市成功路六號","","315010600M","交通部郵政總局臺灣南區郵政管理局","06-2236215","0000000","0920103","5","是","315831300M","中華郵政股份有限公司臺南郵局","0920103","",""
"315010602M","交通部郵政總局臺灣南區郵政管理局新化郵局","712","彰化鎮中正路三一二號","06-6902061","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010603M","交通部郵政總局臺灣南區郵政管理局玉井郵局","714","玉井鄉中正路十九號","06-5742057","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010604M","交通部郵政總局臺灣南區郵政管理局關廟郵局","718","關廟鄉香洋村中央路二二二號","06-5952009","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920103","5","是","315831300M","中華郵政股份有限公司臺南郵局","0920103","",""
"315010605M","交通部郵政總局臺灣南區郵政管理局隆田郵局","720","官田鄉勝利路二號","06-5791112","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010606M","交通部郵政總局臺灣南區郵政管理局麻豆郵局","721","麻豆鎮興國路廿五號","06-5722144","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010607M","交通部郵政總局臺灣南區郵政管理局佳里郵局","","","","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010608M","交通部郵政總局臺灣南區郵政管理局學甲郵局","726","學申鎮中正路三一八號","06-7833378","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010609M","交通部郵政總局臺灣南區郵政管理局北門郵局","727","北門鄉北門村舊埕七一號","06-7862031","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010610M","交通部郵政總局臺灣南區郵政管理局新營郵局","730","新營市中山路一二六號","","315010600M","交通部郵政總局臺灣南區郵政管理局","06-6321745","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010611M","交通部郵政總局臺灣南區郵政管理局白河郵局","732","白河鎮三民路四一０號","06-6852061","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010612M","交通部郵政總局臺灣南區郵政管理局六甲郵局","734","六甲鄉民生街二號","06-6982012","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010613M","交通部郵政總局臺灣南區郵政管理局下營郵局","735","下營鄉慈惠街一二九號","06-6892042","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010614M","交通部郵政總局臺灣南區郵政管理局善化郵局","741","善化鎮中正路三三二號","06-5832496","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010615M","交通部郵政總局臺灣南區郵政管理局新市郵局","744","新市鄉仁愛街二一七號","06-5993205","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831800M","中華郵政股份有限公司新營郵局","0920106","",""
"315010616M","交通部郵政總局臺灣南區郵政管理局茄萣郵局","852","茄萣鄉進學路一二七號","07-6900206","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920103","5","是","315831400M","中華郵政股份有限公司鳳山郵局","0920103","",""
"315010617M","交通部郵政總局臺灣南區郵政管理局岡山郵局","820","岡山鎮岡山路二四二號","","315010600M","交通部郵政總局臺灣南區郵政管理局","07-6217815","0000000","0920103","5","是","315831400M","中華郵政股份有限公司鳳山郵局","0920103","",""
"315010618M","交通部郵政總局臺灣南區郵政管理局路竹郵局","821","路竹鄉中興路十一號","07-6968012","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920103","5","是","315831400M","中華郵政股份有限公司鳳山郵局","0920103","",""
"315010619M","交通部郵政總局臺灣南區郵政管理局湖內郵局","829","湖內鄉中正路二段十三號","07-6993057","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920103","5","是","315831400M","中華郵政股份有限公司鳳山郵局","0920103","",""
"315010620M","交通部郵政總局臺灣南區郵政管理局鳳山郵局","","","","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920103","5","是","315831400M","中華郵政股份有限公司鳳山郵局","0920103","",""
"315010621M","交通部郵政總局臺灣南區郵政管理局林園郵局","832","林園鄉東林村福興街一０四號","07-6412106","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920103","5","是","315831400M","中華郵政股份有限公司鳳山郵局","0920103","",""
"315010622M","臺灣南區郵政管理局九曲堂郵局","840","大樹鄉久堂村中興街一四三號","07-6512051","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831400M","中華郵政股份有限公司鳳山郵局","0920103","",""
"315010623M","交通部郵政總局臺灣南區郵政管理局旗山郵局","842","旗山鎮延平一路六九０號","07-6612102","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0911029","5","是","","","","",""
"315010624M","交通部郵政總局臺灣南區郵政管理局美濃郵局","843","美濃鎮中正一路一段卅九號","07-6812158","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920103","5","是","315831400M","中華郵政股份有限公司鳳山郵局","0920103","",""
"315010625M","交通部郵政總局臺灣南區郵政管理局六龜郵局","844","六龜鄉義金村光復路一七三號","07-6891046","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920103","5","是","315831400M","中華郵政股份有限公司鳳山郵局","0920103","",""
"315010626M","交通部郵政總局臺灣南區郵政管理局甲仙郵局","847","甲仙鄉林森路四四號","07-6751042","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920103","5","是","315831400M","中華郵政股份有限公司鳳山郵局","0920103","",""
"315010627M","交通部郵政總局臺灣南區郵政管理局澎湖郵局","880","澎湖縣馬公市中正路七十號","","315010600M","交通部郵政總局臺灣南區郵政管理局","06-9272492","0000000","0920106","5","是","315832300M","中華郵政股份有限公司澎湖郵局","0920106","",""
"315010628M","交通部郵政總局臺灣南區郵政管理局屏東郵局","900","屏東市民生路二五０號","","315010600M","交通部郵政總局臺灣南區郵政管理局","08-7327416","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010629M","交通部郵政總局臺灣南區郵政管理局九如郵局","904","九如鄉東寧路一九０號","08-7392914","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010630M","交通部郵政總局臺灣南區郵政管理局里港郵局","905","里港鄉春林村中山南路四０號","08-7752057","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010631M","交通部郵政總局臺灣南區郵政管理局高樹郵局","906","高樹鄉高樹村興中路三二七號","08-7962054","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010632M","交通部郵政總局臺灣南區郵政管理局竹田郵局","911","路竹鄉竹田村中山路廿八號","08-7712347","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010633M","交通部郵政總局臺灣南區郵政管理局內埔郵局","912","屏東縣內埔鄉內埔村文化路二七七號","08-7782887","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010634M","交通部郵政總局臺灣南區郵政管理局萬丹郵局","913","屏東縣萬丹鄉萬全村萬丹街二二四號","08-7772251","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010635M","交通部郵政總局臺灣南區郵政管理局潮州郵局","920","屏東縣潮州鎮光春路一三號","08-7882146","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010636M","交通部郵政總局臺灣南區郵政管理局新埤郵局","925","屏東縣新埤鄉新埤村新華路一二三號","08-7971013","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010637M","交通部郵政總局臺灣南區郵政管理局南州郵局","926","屏東縣南州鄉仁里村三民路九號","08-8642096","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010638M","交通部郵政總局臺灣南區郵政管理局林邊郵局","927","屏東縣林邊鄉中林村中山路一一六號","08-8752152","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010639M","交通部郵政總局臺灣南區郵政管理局東港郵局","928","屏東縣東港鎮頂新里中正路一八三號","08-8322140","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010640M","交通部郵政總局臺灣南區郵政管理局琉球郵局","929","屏東縣琉球鄉本福村中山路一０五號","08-8612507","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010641M","交通部郵政總局臺灣南區郵政管理局佳冬郵局","931","屏東縣佳冬鄉佳冬村佳和路八六號","08-8662047","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010642M","交通部郵政總局臺灣南區郵政管理局枋寮郵局","940","屏東縣枋寮鄉中山路一九四號","08-8782130","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010643M","交通部郵政總局臺灣南區郵政管理局車城郵局","944","屏東縣車城鄉福興村中山路五四號","08-8821046","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010644M","交通部郵政總局臺灣南區郵政管理局恆春郵局","946","屏東縣恆春鎮恆西路一巷卅二號","08-8898053","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010645M","交通部郵政總局臺灣南區郵政管理局滿州郵局","947","屏東縣滿州鄉中山路廿五號","08-8801110","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315831900M","中華郵政股份有限公司屏東郵局","0920106","",""
"315010646M","交通部郵政總局臺灣南區郵政管理局臺東郵局","950","台東市大同路一二六號","","315010600M","交通部郵政總局臺灣南區郵政管理局","089-348959","0000000","0920106","5","是","315832200M","中華郵政股份有限公司臺東郵局","0920106","",""
"315010647M","交通部郵政總局臺灣南區郵政管理局關山郵局","956","屏東縣關山鎮中正路十五號","089-811116","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315832200M","中華郵政股份有限公司臺東郵局","0920106","",""
"315010648M","交通部郵政總局臺灣南區郵政管理局池上郵局","958","屏東縣池上鄉中山路二０一號","088-862071","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315832200M","中華郵政股份有限公司臺東郵局","0920106","",""
"315010649M","交通部郵政總局臺灣南區郵政管理局成功郵局","961","屏東縣成功鎮中華路七七號","089-851039","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315832200M","中華郵政股份有限公司臺東郵局","0920106","",""
"315010650M","交通部郵政總局臺灣南區郵政管理局大武郵局","965","屏東縣大武鄉大武村大武街六０號","089-791031","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315832200M","中華郵政股份有限公司臺東郵局","0920106","",""
"315010651M","交通部郵政總局臺灣南區郵政管理局左營郵局","813","高雄市左營區實踐路四三號","07-5810018","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920103","5","是","315830400M","中華郵政股份有限公司高雄郵局","0920103","",""
"315010691M","臺灣南區郵政管理臺南郵件處理中心","704","臺南市北區成功路八號","06-2262650","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315837300M","中華郵政股份有限公司臺南郵件處理中心","0920106","",""
"315010692M","臺灣南區郵政管理高雄郵件處理中心","813","高雄市左營區民族一路八五三號","07-3436451","315010600M","交通部郵政總局臺灣南區郵政管理局","","0000000","0920106","5","是","315837400M","中華郵政股份有限公司高雄郵件處理中心","0920106","",""
"315010800M","交通部郵政總局郵政訓練所","112","臺北市北投區登山路八之六號","28948100","315010000M","交通部郵政總局","","0000000","0920106","4","是","315830000M","中華郵政股份有限公司","0920103","",""
"315010900M","交通部郵政總局郵政研究所","106","臺北市金山南路二段五五號","23921310","315010000M","交通部郵政總局","","0000000","0920106","4","是","315830000M","中華郵政股份有限公司","0920103","",""
"315011100M","交通部郵政總局郵政機械修護所","","","","315010000M","交通部郵政總局","","0000000","0920106","4","是","315830000M","中華郵政股份有限公司","0920103","",""
"315011200M","交通部郵政總局郵政博物館","","","","315010000M","交通部郵政總局","","0000000","0920106","4","是","315830000M","中華郵政股份有限公司","0920103","",""
"315050000M","交通部臺灣區國道高速公路局","243","新北市泰山區黎明里半山雅七十號","02-29096141-2618","315000000H","交通部","02-29091925-","0000000","","3","","","","","",""
"315050100M","交通部臺灣區國道高速公路局北區工程處","114","台北市內湖區成功路2段193巷12號","02-27936555-2602","315050000M","交通部臺灣區國道高速公路局","02-27912139-","0000000","","4","","","","","",""
"315050200M","交通部臺灣區國道高速公路局中區工程處","407","台中市台中港路三段三九號","04-22529181","315050000M","交通部臺灣區國道高速公路局","04-22529262","0000000","","4","","","","","",""
"315050300M","交通部臺灣區國道高速公路局南區工程處","701","台南市裕農路九九一號","06-2363201-","315050000M","交通部臺灣區國道高速公路局","06-2363771-","0000000","","4","","","","","",""
"315050400M","交通部臺灣區國道高速公路局北部第二高速公路工程處","","","--","315050000M","交通部臺灣區國道高速公路局","--","0000000","0000000","4","是","","","","",""
"315050500M","交通部臺灣區國道高速公路局  汐止五股段高架拓建工程處","","","--","315050000M","交通部臺灣區國道高速公路局","--","0000000","0000000","4","是","","","","",""
"315050600M","交通部臺灣區國道高速公路局拓建工程處","11467","臺北市內湖區成功路2段193巷12號6樓","02-27956956-","315050000M","交通部臺灣區國道高速公路局","02-87919013-","0000000","","4","","","","","",""
"315052000M","交通部臺灣區國道高速公路局汐止收費站","221","新北市汐止區長江街254號","02-26411462-","315050000M","交通部臺灣區國道高速公路局","02-26481987-","0000000","1031230","4","是","","","","",""
"315052100M","交通部臺灣區國道高速公路局泰山收費站","243","新北市泰山區大科路1號","02-29099134-","315050000M","交通部臺灣區國道高速公路局","02-22962032-","0000000","1031230","4","是","","","","",""
"315052200M","交通部臺灣區國道高速公路局楊梅收費站","326","桃園縣楊梅鎮校前路二九四號","03-4783118-","315050000M","交通部臺灣區國道高速公路局","03-4783372-","0000000","1031230","4","是","","","","",""
"315052300M","交通部臺灣區國道高速公路局造橋收費站","361","苗栗縣造橋鄉造橋村雙鵝山11號","037-563210","315050000M","交通部臺灣區國道高速公路局","03-7620013","0000000","","4","","","","","",""
"315052400M","交通部臺灣區國道高速公路局后里收費站","421","台中縣后里鄉舊社村三線路7-2號","04-25563401","315050000M","交通部臺灣區國道高速公路局","04-5571681","0000000","","4","","","","","",""
"315052500M","交通部臺灣區國道高速公路局員林收費站","523","彰化縣埤頭鄉和豐村埔尾路五二之一號","04-8884111","315050000M","交通部臺灣區國道高速公路局","04-8870410","0000000","1031230","4","是","","","","",""
"315052600M","交通部臺灣區國道高速公路局斗南收費站","631","雲林縣大埤鄉尚義村頂巷八十號","05-5912119","315050000M","交通部臺灣區國道高速公路局","05-5912564","0000000","","4","","","","","",""
"315052700M","交通部臺灣區國道高速公路局新營收費站","731","台南縣後壁鄉平安村藥店口五五之十號","06-6321060","315050000M","交通部臺灣區國道高速公路局","06-6332911","0000000","1031230","4","是","","","","",""
"315052800M","交通部臺灣區國道高速公路局新市收費站","744","台南縣新市鄉豐華村三八號之六一","06-5992891","315050000M","交通部臺灣區國道高速公路局","06-5892062","0000000","1031230","4","是","","","","",""
"315052900M","交通部臺灣區國道高速公路局岡山收費站","820","高雄縣岡山鎮大莊里大莊路六十號","07-6282756","315050000M","交通部臺灣區國道高速公路局","07-6282758","0000000","1031230","4","是","","","","",""
"315053000M","交通部臺灣區國道高速公路局樹林收費站","238","新北市樹林區佳園路3段101巷3號","02-26808477-","315050000M","交通部臺灣區國道高速公路局","02-26803557-","0000000","1031230","4","是","","","","",""
"315053100M","交通部臺灣區國道高速公路局龍潭收費站","325","桃園縣龍潭鄉高源村12鄰大庄8號","03-4718598","315050000M","交通部臺灣區國道高速公路局","03-4717579","0000000","","4","","","","","",""
"315053200M","交通部臺灣區國道高速公路局七堵收費站","20653","基隆市七堵區瑪南里大成街62號","02-24557241","315050000M","交通部臺灣區國道高速公路局","02-24557247","0000000","1031230","4","是","","","","",""
"315053300M","交通部臺灣區國道高速公路局田寮收費站","823","高雄縣田寮鄉南安村南安路七一之三號","07-6361781","315050000M","交通部臺灣區國道高速公路局","07-6361681","0000000","1031230","4","是","","","","",""
"315053400M","交通部臺灣區國道高速公路局後龍收費站","36143","苗栗縣造橋鄉龍昇村四鄰九車籠42之16號","037-651106","315050000M","交通部臺灣區國道高速公路局","","0901212","","4","","","","","",""
"315053500M","交通部臺灣區國道高速公路局古坑收費站","646","雲林縣古坑鄉永光村大湖口150號","05-5828536","315050000M","交通部臺灣區國道高速公路局","","0901212","1031230","4","是","","","","",""
"315053600M","交通部臺灣區國道高速公路局白河收費站","73252","台南縣白河鎮崁頭里崁子頭65-29號","06-6853342","315050000M","交通部臺灣區國道高速公路局","","0901212","","4","","","","","",""
"315053700M","交通部臺灣區國道高速公路局善化收費站","741","台南縣善化鎮嘉南里2鄰茄拔510號","","315050000M","交通部臺灣區國道高速公路局","","0901212","","4","","","","","",""
"315053800M","交通部臺灣區國道高速公路局大甲收費站","43773","台中縣大甲鎮幸福里6鄰東明路137-20號","04-26816880","315050000M","交通部臺灣區國道高速公路局","","0911101","1031230","4","是","","","","",""
"315053900M","交通部臺灣區國道高速公路局名間收費站","551","南投縣名間鄉萬丹村新月巷二六六號","049-2207431","315050000M","交通部臺灣區國道高速公路局","","0911101","1031230","4","是","","","","",""
"315054000M","交通部臺灣區國道高速公路局月眉收費站","421","台中縣后里鄉月眉村雲頭路44之35號","04-2557-3573","315050000M","交通部臺灣區國道高速公路局","","0911101","1031230","4","是","","","","",""
"315054100M","交通部臺灣區國道高速公路局竹田收費站","911","屏東縣竹田鄉南勢村3鄰南西路168號","08-7694855","315050000M","交通部臺灣區國道高速公路局","08-7691727","0930128","1031230","4","是","","","","",""
"315054200M","交通部臺灣區國道高速公路局頭城收費站","261","宜蘭縣頭城鎮二城里青雲路1段82-6號","03-9875196-","315050000M","交通部臺灣區國道高速公路局","03-9875200-","0950613","","4","","","","","",""
"315060000H","交通部民用航空局","10548","臺北市松山區敦化北路340號","02-23496280-","315000000H","交通部","02-23496184-","0000000","","3","","","","","",""
"315060100H","交通部民用航空局中正國際航空站","337","桃園縣大園鄉航站南路九號","03-3982027","315060000H","交通部民用航空局","03-3931261","0000000","0951031","4","是","315061900H","交通部民用航空局桃園國際航空站","0951101","",""
"315060200H","交通部民用航空局臺北國際航空站","105","台北市敦化北路三四０之九號","02-87703465","315060000H","交通部民用航空局","02-87703546","0000000","","4","","","","","",""
"315060300H","交通部民用航空局高雄國際航空站","812","高雄市小港區中山四路二號","07-8057603","315060000H","交通部民用航空局","07-8057604","0000000","","4","","","","","",""
"315060400H","交通部民用航空局花蓮航空站","97144","花蓮縣新城鄉嘉里村嘉里路機場1號","03-8210700","315060000H","交通部民用航空局","02-23496184","0000000","","4","","","","","",""
"315060500H","交通部民用航空局臺東航空站","950","台東市民航路1100號","089-361111","315060000H","交通部民用航空局","089-362536","0000000","","4","","","","","",""
"315060600H","交通部民用航空局馬公航空站","88593","澎湖縣湖西鄉隘門村126之5號","06-9228188-","315060000H","交通部民用航空局","06-9218425-","0000000","","4","","","","","",""
"315060700H","交通部民用航空局金門航空站","891","金門縣金湖鎮尚義機場二號","082-322380","315060000H","交通部民用航空局","082-328506","0000000","","4","","","","","",""
"315060800H","交通部民用航空局臺南航空站","702","臺南市南區機場路775號","06-2601185-","315060000H","交通部民用航空局","06-2601221-","0000000","","4","","","","","",""
"315060900H","交通部民用航空局臺中航空站","43346","臺中市沙鹿區中航路1段168號","04-26244125-","315060000H","交通部民用航空局","04-26155201-","0000000","","4","","","","","",""
"315061000H","交通部民用航空局嘉義航空站","608","嘉義縣水上鄉榮典路一號","05-2867886-","315060000H","交通部民用航空局","05-2864636-","0000000","","4","","","","","",""
"315061100H","交通部民用航空局七美航空站","88341","澎湖縣七美鄉平和村55號","06-9971256","315060000H","交通部民用航空局","06-9971920","0921117","","4","","","","","315063200H","交通部民用航空局七美輔助站"
"315061200H","交通部民用航空局望安航空站","88241","澎湖縣望安鄉中社村156號","06-9991806-","315060000H","交通部民用航空局","06-9991624-","0921117","","4","","","","","315063300H","交通部民用航空局望安輔助站"
"315061300H","交通部民用航空局蘭嶼航空站","952","台東縣蘭嶼鄉紅頭村漁人151號","089-732220","315060000H","交通部民用航空局","089-732279","0921117","","4","","","","","315063000H","交通部民用航空局蘭嶼輔助站"
"315061400H","交通部民用航空局綠島航空站","951","台東縣綠島鄉南寮村231號","089-671194","315060000H","交通部民用航空局","089-672716","0921117","","4","","","","","315063100H","交通部民用航空局綠島輔助站"
"315061500H","交通部民用航空局南竿航空站","20941","連江縣南竿鄉復興村220號","0836-26502","315060000H","交通部民用航空局","","0921117","","4","","","","","315064000H","交通部民用航空局南竿輔助站"
"315061600H","交通部民用航空局北竿航空站","210","北竿鄉塘岐村二六一號","0836-56503","315060000H","交通部民用航空局","","0921117","","4","","","","","315064100H","交通部民用航空局北竿輔助站"
"315061700H","交通部民用航空局屏東航空站","90060","屏東市忠孝路699號","08-7665760-","315060000H","交通部民用航空局","--","0921117","1000901","4","是","","","","315063800H","交通部民用航空局屏東輔助航空站"
"315061800H","交通部民用航空局恆春航空站","94641","屏東縣恆春鎮仁壽里10鄰省北路2段393號","08-8897120","315060000H","交通部民用航空局","","0921126","","4","","","","","",""
"315061900H","交通部民用航空局桃園國際航空站","337","桃園縣大園鄉航站南路9號","03-3982028-","315060000H","交通部民用航空局","03-3983796-","0951101","0991101","4","是","315850000M","桃園國際機場股份有限公司","0991101","315060100H","交通部民用航空局中正國際航空站"
